address,item_index,latitude,longitude,map_url,name,phone,phone_href,raw_data_coord,raw_data_lat,raw_data_long,raw_data_map_url,raw_html
"Bakı şəhəri, Yasamal rayonu, Əsəd Əhmədov 26",46,40.3941667,49.8027584,,Şuşa Rayon Mərkəzi Xəstəxanası,(+99412) 432-72-87,tel:(+99412) 432-72-87,"[40.3941667, 49.8027584]",40.3941667,49.8027584,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.3941667, 49.8027584]"" data-lat=""40.3941667"" data-long=""49.8027584"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Şuşa Rayon Mərkəzi Xəstəxanası</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Bakı şəhəri, Yasamal rayonu, Ə..."
Goranboy rayon Aşağı Ağcakənd qəsəbəsi,47,40.4215,46.5712465,,Xocalı Rayon Mərkəzi Xəstəxanası,(+9942224) 7-45-43,tel:(+9942224) 7-45-43,"[40.4215, 46.5712465]",40.4215,46.5712465,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.4215, 46.5712465]"" data-lat=""40.4215"" data-long=""46.5712465"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Xocalı Rayon Mərkəzi Xəstəxanası</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Goranboy rayon Aşağı Ağcakənd qəsə..."
"Siyəzən rayonu, Babək küçəsi 48 A.",48,41.0767582,49.1141645,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3007.6385435472966!2d49.111413676452806!3d41.07689301519638!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40371590e2ee9303%3A0x8e7fa6507f203dbc!2zU2l5yZl6yZluIFJlZ2lvbmFsIE3DvGFsaWPJmSB2yZkgRGlhcW5vc3Rpa2EgTcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727179529131!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Siyəzən Rayon Mərkəzi Xəstəxanası,(+9942330) 4-29-76,tel:(+9942330) 4-29-76,"[41.0767582, 49.1141645]",41.0767582,49.1141645,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3007.6385435472966!2d49.111413676452806!3d41.07689301519638!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40371590e2ee9303%3A0x8e7fa6507f203dbc!2zU2l5yZl6yZluIFJlZ2lvbmFsIE3DvGFsaWPJmSB2yZkgRGlhcW5vc3Rpa2EgTcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727179529131!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[41.0767582, 49.1141645]"" data-lat=""41.0767582"" data-long=""49.1141645"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3007.6385435472966!2d49.111413676452806!3d41.07689301519638!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40371590e2ee9303%3A0x8e7fa6507f203dbc!2zU2l5yZl6yZluIFJlZ2lvbmFsIE3DvGFsaWPJmSB2yZkgRGlhcW5vc3Rpa2EgTcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727179529131!5m2!1saz!2saz"" width=""..."
Bakı ş. Səbail r Üzeyir Hacıbəyli 123.,49,40.3756598,49.8556516,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12153.055242629327!2d49.78556598715822!3d40.40300620000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030877688352851%3A0x6f965cc3b9f67b0e!2sRespublika%20Endokrinoloji%20M%C9%99rk%C9%99z!5e0!3m2!1saz!2saz!4v1727179676523!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Bakı Respublika Endokrinoloji Mərkəz,(+99412) 598-51-49,tel:(+99412) 598-51-49,"[40.3756598, 49.8556516]",40.3756598,49.8556516,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12153.055242629327!2d49.78556598715822!3d40.40300620000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030877688352851%3A0x6f965cc3b9f67b0e!2sRespublika%20Endokrinoloji%20M%C9%99rk%C9%99z!5e0!3m2!1saz!2saz!4v1727179676523!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.3756598, 49.8556516]"" data-lat=""40.3756598"" data-long=""49.8556516"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12153.055242629327!2d49.78556598715822!3d40.40300620000001!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030877688352851%3A0x6f965cc3b9f67b0e!2sRespublika%20Endokrinoloji%20M%C9%99rk%C9%99z!5e0!3m2!1saz!2saz!4v1727179676523!5m2!1saz!2saz"" width=""600"" height=""450"" style=""bor..."
"Bakı, Yasamal rayonu, Abbas Mirzə Şərifzadə küçəsi, 212",50,40.4033772,49.8036073,,Akademik M.Mirqasımov adına Respublika Klinik Xəstəxanası,(+994 12) 430 77 36,tel:(+994 12) 430 77 36,"[40.4033772, 49.8036073]",40.4033772,49.8036073,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.4033772, 49.8036073]"" data-lat=""40.4033772"" data-long=""49.8036073"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Akademik M.Mirqasımov adına Respublika Klinik Xəstəxanası</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Bak..."
"Bakı şəhəri, Səbail rayonu, Əhməd Cavad küçəsi 19",51,40.369436,49.8326188,,Akademik M.Cavadzadə adına Respublika Kliniki Uroloji Xəstəxanası,(+99412) 492-24-17,tel:(+99412) 492-24-17,"[40.369436, 49.8326188]",40.369436,49.8326188,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.369436, 49.8326188]"" data-lat=""40.369436"" data-long=""49.8326188"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Akademik M.Cavadzadə adına Respublika Kliniki Uroloji Xəstəxanası</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <sp..."
"Bakı şəhəri, Qaradağ rayonu, Lökbatan qəsəbəsi, Nizami küçəsi 9",52,40.3295,49.729222222222226,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6083.567066629509!2d49.72447339700594!3d40.32496146535583!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307f902455ef2b%3A0xb8fd97344b0ef4d3!2zMTkgbsO2bXLJmWxpIEJpcmzJmcWfbWnFnyDFnsmZaMmZciBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727178617045!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Lökbatan Tibb Mərkəzi,(+9941244) 5-23-26,tel:(+9941244) 5-23-26,"[40°19'46.2, 49°43'45.2]",40°19'46.2,49°43'45.2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6083.567066629509!2d49.72447339700594!3d40.32496146535583!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307f902455ef2b%3A0xb8fd97344b0ef4d3!2zMTkgbsO2bXLJmWxpIEJpcmzJmcWfbWnFnyDFnsmZaMmZciBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727178617045!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°19'46.2, 49°43'45.2]"" data-lat=""40°19'46.2"" data-long=""49°43'45.2"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d6083.567066629509!2d49.72447339700594!3d40.32496146535583!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307f902455ef2b%3A0xb8fd97344b0ef4d3!2zMTkgbsO2bXLJmWxpIEJpcmzJmcWfbWnFnyDFnsmZaMmZciBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727178617045!5m2!1saz!2saz"" width=""600"" hei..."
Pirallahı rayonu Kamil Rzayev küçəsi 22/13.,53,40.44766666666666,50.34122222222222,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3036.2532183359594!2d50.33846997642878!3d40.44753215376343!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030458f42419e97%3A0xd578d93f40ff72dd!2zUGlyYWxsYWjEsSBUaWJiIE3JmXJryZl6aQ!5e0!3m2!1saz!2saz!4v1727178575725!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Pirallahı Tibb Mərkəzi,(+99412) 457-08-48,tel:(+99412) 457-08-48,"[40°26'51.6, 50°20'28.4]",40°26'51.6,50°20'28.4,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3036.2532183359594!2d50.33846997642878!3d40.44753215376343!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030458f42419e97%3A0xd578d93f40ff72dd!2zUGlyYWxsYWjEsSBUaWJiIE3JmXJryZl6aQ!5e0!3m2!1saz!2saz!4v1727178575725!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°26'51.6, 50°20'28.4]"" data-lat=""40°26'51.6"" data-long=""50°20'28.4"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3036.2532183359594!2d50.33846997642878!3d40.44753215376343!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030458f42419e97%3A0xd578d93f40ff72dd!2zUGlyYWxsYWjEsSBUaWJiIE3JmXJryZl6aQ!5e0!3m2!1saz!2saz!4v1727178575725!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" all..."
"Bakı şəhəri, Sabunçu rayonu, Əsildar Məmmədəliyev küçəsi 20",54,40.44252777777778,49.942361111111104,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12145.927561519593!2d49.92338538715821!3d40.442470099999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030620968b5a159%3A0xae9146e7969a73ac!2zU2FidW7Dp3UgWMmZc3TJmXhhbmFzxLE!5e0!3m2!1saz!2saz!4v1727178523485!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Sabunçu Tibb Mərkəzi,(+99412) 450-06-26,tel:(+99412) 450-06-26,"[40°26'33.1, 49°56'32.5]",40°26'33.1,49°56'32.5,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12145.927561519593!2d49.92338538715821!3d40.442470099999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030620968b5a159%3A0xae9146e7969a73ac!2zU2FidW7Dp3UgWMmZc3TJmXhhbmFzxLE!5e0!3m2!1saz!2saz!4v1727178523485!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°26'33.1, 49°56'32.5]"" data-lat=""40°26'33.1"" data-long=""49°56'32.5"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12145.927561519593!2d49.92338538715821!3d40.442470099999994!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030620968b5a159%3A0xae9146e7969a73ac!2zU2FidW7Dp3UgWMmZc3TJmXhhbmFzxLE!5e0!3m2!1saz!2saz!4v1727178523485!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allow..."
"Suraxanı rayonu, Atamoğlan Rzayev küçəsi 1",55,40.37261111111111,49.975500000000004,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d97253.55936653547!2d49.78047615647897!3d40.38284203790404!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030650034be4779%3A0x3b021f0595f4889a!2sSuraxani%20Tibb%20Merkezi(Suraxan%C4%B1%20RayonuTibb%20M%C9%99rk%C9%99zi!5e0!3m2!1saz!2saz!4v1727178446275!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Suraxanı Tibb Mərkəzi,(+99412) 477-20-04,tel:(+99412) 477-20-04,"[40°22'21.4, 49°58'31.8]",40°22'21.4,49°58'31.8,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d97253.55936653547!2d49.78047615647897!3d40.38284203790404!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030650034be4779%3A0x3b021f0595f4889a!2sSuraxani%20Tibb%20Merkezi(Suraxan%C4%B1%20RayonuTibb%20M%C9%99rk%C9%99zi!5e0!3m2!1saz!2saz!4v1727178446275!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°22'21.4, 49°58'31.8]"" data-lat=""40°22'21.4"" data-long=""49°58'31.8"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d97253.55936653547!2d49.78047615647897!3d40.38284203790404!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030650034be4779%3A0x3b021f0595f4889a!2sSuraxani%20Tibb%20Merkezi(Suraxan%C4%B1%20RayonuTibb%20M%C9%99rk%C9%99zi!5e0!3m2!1saz!2saz!4v1727178446275!5m2!1saz!2saz"" width=""60..."
"Bakı şəhəri, Xətai rayonu, Yusif Səfərov küçəsi 25",56,40.382694444444446,49.86277777777778,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3039.1784935815294!2d49.86030167642628!3d40.3827364577069!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307d1fe9c795bf%3A0x1194f888c95cb70e!2zWMmZdGFpIHRpYmIgbcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727178363204!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Xətai Tibb Mərkəzi,(+99412) 565-32-10,tel:(+99412) 565-32-10,"[40°22'57.7, 49°51'46.0]",40°22'57.7,49°51'46.0,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3039.1784935815294!2d49.86030167642628!3d40.3827364577069!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307d1fe9c795bf%3A0x1194f888c95cb70e!2zWMmZdGFpIHRpYmIgbcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727178363204!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°22'57.7, 49°51'46.0]"" data-lat=""40°22'57.7"" data-long=""49°51'46.0"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3039.1784935815294!2d49.86030167642628!3d40.3827364577069!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307d1fe9c795bf%3A0x1194f888c95cb70e!2zWMmZdGFpIHRpYmIgbcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727178363204!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfulls..."
"Bakı şəhəri, Xəzər rayonu, Mərdəkan qəsəbəsə, Ramin qasımov 30 küçəsi",57,40.49127777777778,50.15447222222222,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3034.297980454943!2d50.15208397643022!3d40.49079335112772!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40305f3af5fb678b%3A0x3c70ebefa1dd8738!2zWMmZesmZciBUaWJiIE3JmXJryZl6aQ!5e0!3m2!1saz!2saz!4v1727178123667!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Xəzər Tibb Mərkəzi,(+99412) 454-53-77,tel:(+99412) 454-53-77,"[40°29'28.6, 50°09'16.1]",40°29'28.6,50°09'16.1,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3034.297980454943!2d50.15208397643022!3d40.49079335112772!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40305f3af5fb678b%3A0x3c70ebefa1dd8738!2zWMmZesmZciBUaWJiIE3JmXJryZl6aQ!5e0!3m2!1saz!2saz!4v1727178123667!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°29'28.6, 50°09'16.1]"" data-lat=""40°29'28.6"" data-long=""50°09'16.1"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3034.297980454943!2d50.15208397643022!3d40.49079335112772!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40305f3af5fb678b%3A0x3c70ebefa1dd8738!2zWMmZesmZciBUaWJiIE3JmXJryZl6aQ!5e0!3m2!1saz!2saz!4v1727178123667!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowful..."
"Bakı şəhəri, Xəzər rayayonu, Baba Əliyev küçəsi, 11",58,40.480533,50.1577158,,Tibbi Reabilitasiya Mərkəzi,(+99412) 454-07-18,tel:(+99412) 454-07-18,"[40.480533, 50.1577158]",40.480533,50.1577158,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.480533, 50.1577158]"" data-lat=""40.480533"" data-long=""50.1577158"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Tibbi Reabilitasiya Mərkəzi</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Bakı şəhəri, Xəzər rayayonu, Baba Ə..."
"Bakı şəhəri, Mikayıl Müşfiq 1 M",59,40.35516666666667,49.80922222222222,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3040.4208711418833!2d49.80661237642528!3d40.355191359381706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307f350270224f%3A0x672683d347226b18!2zQmFrxLEgQmHFnyBTyZloaXl5yZkgTcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727178790740!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Bakı Baş Səhiyyə Mərkəzi,(+994 12) 596 33 15,tel:(+994 12) 596 33 15,"[40°21'18.6, 49°48'33.2]",40°21'18.6,49°48'33.2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3040.4208711418833!2d49.80661237642528!3d40.355191359381706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307f350270224f%3A0x672683d347226b18!2zQmFrxLEgQmHFnyBTyZloaXl5yZkgTcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727178790740!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°21'18.6, 49°48'33.2]"" data-lat=""40°21'18.6"" data-long=""49°48'33.2"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3040.4208711418833!2d49.80661237642528!3d40.355191359381706!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307f350270224f%3A0x672683d347226b18!2zQmFrxLEgQmHFnyBTyZloaXl5yZkgTcmZcmvJmXpp!5e0!3m2!1saz!2saz!4v1727178790740!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:..."
"Bakı şəhəri, Heydər Əliyev pr.140",60,40.412,49.89922222222222,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12152.445632554587!2d49.87319862069713!3d40.40638268242139!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030639ae8329763%3A0x4a8c968c45d95f9c!2sYeni%20klinika!5e0!3m2!1saz!2saz!4v1727178853133!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Yeni Klinika,(+994 12) 505 62 31,tel:(+994 12) 505 62 31,"[40°24'43.2, 49°53'57.2]",40°24'43.2,49°53'57.2,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12152.445632554587!2d49.87319862069713!3d40.40638268242139!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030639ae8329763%3A0x4a8c968c45d95f9c!2sYeni%20klinika!5e0!3m2!1saz!2saz!4v1727178853133!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40°24'43.2, 49°53'57.2]"" data-lat=""40°24'43.2"" data-long=""49°53'57.2"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d12152.445632554587!2d49.87319862069713!3d40.40638268242139!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x4030639ae8329763%3A0x4a8c968c45d95f9c!2sYeni%20klinika!5e0!3m2!1saz!2saz!4v1727178853133!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" load..."
"Bakı şəhəri, Xətai rayonu, Yusif Səfərov 22",61,40.3800655,49.865273,,Respublika Perinatal Mərkəzi,(+99412) 489-51-14,tel:(+99412) 489-51-14,"[40.3800655, 49.865273]",40.3800655,49.865273,,"<div class=""accordion-header each-item result-item"" data-coord=""[40.3800655, 49.865273]"" data-lat=""40.3800655"" data-long=""49.865273"" data-map-url="""" style=""border-radius: 12px""> <div class=""info""> <div style=""display: flex;justify-content: space-between;width: 100%;align-items: center;margin-bottom: 10px;""> <h2 class="""">Respublika Perinatal Mərkəzi</h2> </div> <div class=""location chip copy-clipboard""> <img alt=""location"" src=""/app/img/svg/location.svg""/> <span>Bakı şəhəri, Xətai rayonu, Yusif S..."
"Bakı şəhəri, Nəsimi rayonu, A.A.Mirqasımov, 1",62,40.3938706,49.8321278,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3038.6743936863263!2d49.8285770764267!3d40.39390855702745!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307d791a17e2f1%3A0xb5770b1072fc6137!2zMSBzYXlsxLEgxZ7JmWjJmXIgS2xpbmlraSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727179798657!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>",Kliniki Tibbi Mərkəz,(+99412) 597-98-92,tel:(+99412) 597-98-92,"[40.3938706, 49.8321278]",40.3938706,49.8321278,"<iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3038.6743936863263!2d49.8285770764267!3d40.39390855702745!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307d791a17e2f1%3A0xb5770b1072fc6137!2zMSBzYXlsxLEgxZ7JmWjJmXIgS2xpbmlraSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727179798657!5m2!1saz!2saz"" width=""600"" height=""450"" style=""border:0;"" allowfullscreen="""" loading=""lazy"" referrerpolicy=""no-referrer-when-downgrade""></iframe>","<div class=""accordion-header each-item result-item"" data-coord=""[40.3938706, 49.8321278]"" data-lat=""40.3938706"" data-long=""49.8321278"" data-map-url='&lt;iframe src=""https://www.google.com/maps/embed?pb=!1m18!1m12!1m3!1d3038.6743936863263!2d49.8285770764267!3d40.39390855702745!2m3!1f0!2f0!3f0!3m2!1i1024!2i768!4f13.1!3m3!1m2!1s0x40307d791a17e2f1%3A0xb5770b1072fc6137!2zMSBzYXlsxLEgxZ7JmWjJmXIgS2xpbmlraSBYyZlzdMmZeGFuYXPEsQ!5e0!3m2!1saz!2saz!4v1727179798657!5m2!1saz!2saz"" width=""600"" height=""450"" st..."
